horse_name,section,show_class,show,rider,place,entries,points
Horse: Skyscraper        #22387   ,Children's Hunter 14 & under,$200 Children's Hunter 14 & Under 3',World Equestrian Center Winter Classic #18,Addison Mae King,3,6,6
Horse: Skyscraper        #18362   ,Children's Hunter 14 & under,$200 Children's Hunter 14 & under,World Equestrian Ocala Winter Spectacular #7,Addison Mae King,6,15,3
Horse: Skywalker        #19734   ,Adult Hunter 36 and over,$200 Adult Amateur Hunter 50+,World Equestrian Ocala Winter Spectacular #6,Sara Steady,1,12,8
Horse: Slackjaw        #17448   ,1.20m Jumper,$500 1.20 Meter Jumper -339.a,World Equestrian Ocala Winter Spectacular #3,Benjamin G. Rosichan,7,44,2
Horse: Slate        #19125   ,"Young Hunter 2'9""-3'-3'3""","Young Hunter 2'9"" & 3'",World Equestrian Ocala Winter Spectacular #5,Abby Strohmeyer,1,5,8
Horse: Slf Dakkato        #17456   ,Novice Children's/Adult Jumper,$150 Novice Adult Jumper .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #4,Christina Schueneman,5,23,4
Horse: Smalls CTF        #22294   ,USHJA/NSBA 2' Hunter,USHJA Hunter 2' U/S,World Equestrian Center Winter Classic #17,Breanna Moore,8,12,1
Horse: Smartie        #21394   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #10,Christina Kelly,2,11,7
Horse: Smartie Pants        #16362   ,Short Stirrup Hunter,Opportunity Short Stirrup Hunter U/S,World Equestrian Center Winter Classic #18,Alma Sjobring,4,13,5
Horse: Smartpak        #17215   ,Children's Pony Hunter Sm/Med,$100 Children's Pony (1st round Classic),World Equestrian Ocala Winter Spectacular #1,Sydney Munch,6,12,3
Horse: Smitten        #22408   ,Intermediate Children's Hunter,"Intermediate Children's Hunter 2'6""",World Equestrian Center Winter Classic #18,Kristianna Walters,3,24,6
Horse: Smitten        #22282   ,Intermediate Children's Hunter,"Intermediate Children's Hunter 2'6""",World Equestrian Center Winter Classic #17,Kristianna Walters,5,21,4
Horse: Smoke Rings in the dark        #20059   ,"USHJA/NSBA 2'6"" Hunter","NSBA Hunter 2'6"" U/S",World Equestrian Ocala Winter Spectacular #7,Amanda Shaffer,5,23,4
Horse: Snap Dragon        #22663   ,Short Stirrup Hunter,Opportunity Short Stirrup Hunter 2' (11 & under),World Equestrian Center Winter Classic #19,Maeve Sheldon,3,10,6
Horse: Snapdragon GGF        #17409   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #1,Skyler Hendricks,7,15,2
Horse: Snickerdoodle        #21626   ,Future Hunter,"Future Hunter 1'6""-2'",World Equestrian Ocala Winter Spectacular #11,Kylie Crow,5,10,4
Horse: Snow Day        #22564   ,USHJA/NSBA 2' Hunter,USHJA Hunter 2',World Equestrian Center Winter Classic #19,Molly Kindness,4,18,5
Horse: Snow Day        #22425   ,USHJA/NSBA 2' Hunter,USHJA Hunter 2',World Equestrian Center Winter Classic #18,Molly Kindness,6,23,3
Horse: Snow Day        #21627   ,Future Hunter,"Future Hunter 1'6""-2'",World Equestrian Ocala Winter Spectacular #11,Molly Kindness,6,10,3
Horse: Snow Day        #20414   ,Future Hunter,"Future Hunter 1'6""-2'",World Equestrian Ocala Winter Spectacular #7,Molly Kindness,2,11,7
Horse: Snow White        #11985   ,Open Jumper by Points,$1000 1.30 Meter Jumper 2.2b,World Equestrian Center Winter Classic #19,Natalie Thornell,6,10,3
Horse: Snowbird        #11530   ,Adult Hunter 18-35,$200 Adult Amateur 18-35,World Equestrian Ocala Winter Spectacular #3,Hannah Eddlemon,7,20,2
Horse: Snowed In        #17906   ,Future Hunter,"Future Hunter 1'6""-2'",World Equestrian Ocala Winter Spectacular #2,Karrington Hall,7,9,2
Horse: Snowed In        #20423   ,"USHJA/NSBA 2'3"" Hunter","NSBA Hunter 2'3"" U/S",World Equestrian Ocala Winter Spectacular #7,Karrington Hall,1,25,10
Horse: Snowed In        #19671   ,"Amateur Owner Hunter 3'6"" 36 and over","$400 Amateur Owner Hunter 3'6"" 36 and over",World Equestrian Ocala Winter Spectacular #6,Kristiina Claffee,1,3,8
Horse: Snuffleupagus        #16179   ,Small Pony Hunter,"$300 Small Pony Hunter 2'3"" (1st rnd Classic)",World Equestrian Center Winter Classic #10,Finley Morgan,3,8,6
Horse: So Cool        #11532   ,Modified Children's/Adult Jumper,$3000 Modified Child/Adult Classic 1.15m 340.c,World Equestrian Ocala Winter Spectacular #1,Jillian Minahan,7,18,2
Horse: So Good        #19774   ,Low Children's Jumper,$750 Low Children's Jumper Classic 1.00m 340.c,World Equestrian Ocala Winter Spectacular #12,Carleigh Niles,10,15,0
Horse: So Live Helau        #15748   ,Open Jumper by Points,$7500 Futures Prix 1.30m 2.2b,World Equestrian Center Winter Classic #19,Keely Mc Intosh,3,23,6
Horse: Social Media        #21381   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter (first round,World Equestrian Ocala Winter Spectacular #10,Sidney Couch,5,15,4
Horse: Solamente        #21640   ,"USHJA/NSBA 2'3"" Hunter","NSBA Hunter 2'3""",World Equestrian Ocala Winter Spectacular #11,Hannah Matts,8,19,1
Horse: Solano        #14567   ,Adult Hunter 18-35,$200 Adult Amateur Hunter 18-35 3',World Equestrian Center Winter Classic #19,Ella Stubbart,3,13,6
Horse: Solar Flare        #20399   ,Children's Hunter 15-17,$200 Children's Hunter 15-17,World Equestrian Ocala Winter Spectacular #7,Bailey Williams,2,16,7
Horse: Sole Train        #15426   ,Low Children's Jumper,Low Children's Jumper 1.00m 2.2b,World Equestrian Center Winter Classic #18,Miriam Lawrence,5,9,4
Horse: Somerset        #21087   ,"USHJA/NSBA 2'3"" Hunter","NSBA Hunter 2'3""",World Equestrian Ocala Winter Spectacular #9,Brenna Doherty,5,23,4
Horse: Something Blue        #17643   ,Short Stirrup Hunter,Short Stirrup Hunter,World Equestrian Ocala Winter Spectacular #1,Ivy Smith,3,8,6
Horse: Something's Happening        #22514   ,Medium Pony Hunter,"$300 Medium Pony Hunter 2'6"" (1st rnd Classic)",World Equestrian Center Winter Classic #19,SÃ¸ren Iversen,8,8,1
Horse: Sorano        #21251   ,"Junior Hunter 3'3"" 16-17","$300 Junior Hunter 3'3"" 16-17",World Equestrian Ocala Winter Spectacular #9,Campbell Swanner,2,6,7
Horse: Sorano        #20390   ,"Junior Hunter 3'3"" 16-17","$300 Junior Hunter 3'3"" 16-17",World Equestrian Ocala Winter Spectacular #7,Campbell Swanner,5,14,4
Horse: Sorano        #14821   ,"Performance Hunter 3'3""","$100 Performance Handy Hunter 3'3""",World Equestrian Center Winter Classic #2,Molly McAdow,1,7,8
Horse: Soriano        #17331   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter (first round Clas,World Equestrian Ocala Winter Spectacular #11,Drew Zeidwig,4,28,5
Horse: Sorrento        #11541   ,Adult Hunter 18-35,$200 Adult Amateur Hunter 18-35,World Equestrian Ocala Winter Spectacular #4,Kendall L. Meijer,4,16,5
Horse: Sorriso        #12098   ,USHJA/NSBA 3' Hunter,NSBA Hunter 3',World Equestrian Ocala Winter Spectacular #1,Sam Berry,1,25,10
Horse: Soulful        #17965   ,"USHJA/NSBA 2'6"" Hunter","NSBA Hunter 2'6"" (California Split)",World Equestrian Ocala Winter Spectacular #2,,6,52,3
Horse: South Star        #21845   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #12,,8,9,1
Horse: Southern Accent        #18595   ,Novice Children's/Adult Jumper,$150 Novice Children's Jumper .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #3,Isabelle Livingston,6,21,3
Horse: Southern Belle        #20085   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter,World Equestrian Ocala Winter Spectacular #7,Nadia Striewski,2,43,7
Horse: Southern Charm        #22283   ,Intermediate Children's Hunter,Intermediate Children's Hunter (1st Rnd Classic),World Equestrian Center Winter Classic #17,Emma Smith,2,21,7
Horse: Southern Comfort        #17990   ,"USHJA/NSBA 2'9""","NSBA Hunter 2'9""",World Equestrian Ocala Winter Spectacular #2,Melanie S. Wright,7,27,2
Horse: Southern Comfort        #22402   ,Non Professional Hunter,"Non Professional Hunter 2'6""",World Equestrian Center Winter Classic #18,Victoria Wieseler,1,14,10
Horse: Southern Comfort        #22591   ,USHJA/NSBA 3' Hunter,USHJA Hunter 3' (California Split),World Equestrian Center Winter Classic #19,Melanie S. Wright,7,41,2
Horse: Southern Comfort        #22518   ,Children's Hunter 15-17,$200 Children's Hunter 15-17 3',World Equestrian Center Winter Classic #19,Victoria Wieseler,6,15,3
Horse: Southern Comfort        #14270   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter U/S,World Equestrian Ocala Winter Spectacular #4,Alex Korky,4,16,5
Horse: Southern Ground        #17782   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #2,Amanda P. Steege,4,28,5
Horse: Southern Rhapsody        #17195   ,Large Pony Hunter,$300 Pony Hunter,World Equestrian Ocala Winter Spectacular #1,Susannah Morrell,1,8,8
Horse: Southern rose        #14931   ,Adult Jumper,$5000 Low Jr/Am/AO Classic 1.20-1.25 340.c,World Equestrian Ocala Winter Spectacular #5,Brooke Cudmore,9,45,0
Horse: Southside        #17676   ,Adult Hunter 18-35,$100 Adult Hunter 18-35 U/S,World Equestrian Ocala Winter Spectacular #2,Liza Thompson,7,24,2
Horse: Sovereign Roc        #21715   ,Future Hunter,Future Hunter U/S,World Equestrian Center Winter Classic #17,Jennifer Green,7,8,2
Horse: Space Cowboy        #18517   ,USHJA/NSBA 3' Hunter,NSBA Hunter 3' U/S,World Equestrian Ocala Winter Spectacular #5,Kathleen Cohn,5,10,4
Horse: Spanish Harlem        #17961   ,Adult Hunter 36 and over,$200 Adult Amateur Hunter 50+,World Equestrian Ocala Winter Spectacular #9,Judy Rutkowski,1,11,8
Horse: Sparkle Latte        #17923   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter,World Equestrian Ocala Winter Spectacular #2,Sophie Franks,4,11,5
Horse: Sparrow Z        #18169   ,Low Jr/AO Jumper,$1000 Low Jr/Am/AO Jumper 1.20m 340.c,World Equestrian Ocala Winter Spectacular #2,Angela Gonzalez,6,31,3
Horse: Spartaco        #12513   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #8,Marie I. Militana Povlovich,7,24,2
Horse: Spartacus        #22542   ,Intermediate Children's/Adult Jumper,Intermediate Children's/Adult Jumper .80m 2.2b,World Equestrian Center Winter Classic #19,Jorie Cattaneo,3,13,6
Horse: Spartan        #21036   ,"Green Hunter 3'6""","$600 Green Hunter 3'6""",World Equestrian Ocala Winter Spectacular #10,Ethan Maye,1,5,8
Horse: Spartan's Crew        #22297   ,Future Hunter,"Future Hunter 1'6""-2'",World Equestrian Center Winter Classic #17,Madison Weaver,8,8,1
Horse: Sparticus        #19536   ,Adult Hunter 18-35,$100 Adult Amateur Hunter 18-35 U/S,World Equestrian Ocala Winter Spectacular #6,Elizabeth Ragsdale,3,25,6
Horse: Special Envoy        #22603   ,Children's Jumper,$200 Childrens Jumper 1.10m 2.2b,World Equestrian Center Winter Classic #19,Jackie E. Stary,6,11,3
Horse: Speechless        #19219   ,"USHJA/NSBA 2'6"" Hunter","NSBA Hunter 2'6"" U/S",World Equestrian Ocala Winter Spectacular #5,Rebecca St. Onge,4,22,5
Horse: Spice of Life        #18167   ,1.20m Jumper,$500 1.20 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #2,Casey Mc Kissock,8,29,1
Horse: Splash Zone        #19871   ,Novice Children's/Adult Jumper,$150 Novice Children's Jumper .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #6,Gabby Plonsky,6,28,3
Horse: Splendid        #17862   ,"Junior Hunter 3'3"" 16-17","$300 Junior Hunter 3'3"" 16-17 (1st round Classic",World Equestrian Ocala Winter Spectacular #8,Riley Gerardo,7,11,2
Horse: Spoil Me Silver        #19462   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter (1st round classic),World Equestrian Ocala Winter Spectacular #5,Gia McIntyre,6,19,3
Horse: Sportivo        #17204   ,"Performance Hunter 3'3""","$150 Performance Hunter 3'3"" U/S",World Equestrian Ocala Winter Spectacular #8,Donald M. Sheehan,4,13,5
Horse: Spot On        #19079   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter,World Equestrian Ocala Winter Spectacular #4,Sandra Osterhaus,7,14,2
Horse: Spot On        #19460   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter,World Equestrian Ocala Winter Spectacular #5,Sandra Osterhaus,7,17,2
Horse: Spotify        #17221   ,Adult Hunter 18-35,$200 Adult Amateur Hunter 18-35,World Equestrian Ocala Winter Spectacular #1,Alexandra D. Hendelman,8,9,1
Horse: Spy Games        #22544   ,Non Professional Hunter,"Non Professional Hunter 2'6""",World Equestrian Center Winter Classic #19,Naavah Viola Wood,2,5,7
Horse: Squid        #22173   ,1.30m Jumper,$1000 1.30 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #12,Kristen B. Vanderveen,4,31,5
Horse: Squish This        #20035   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2' U/S,World Equestrian Ocala Winter Spectacular #7,Brianna Y. Leone,4,27,5
Horse: Ss Princeton        #22298   ,USHJA/NSBA 2' Hunter,USHJA Hunter 2',World Equestrian Center Winter Classic #17,Sarah Oelerich,6,18,3
Horse: Stacey 17        #17495   ,1.20m Jumper,$500 1.20 Meter 340.c,World Equestrian Ocala Winter Spectacular #2,Benjamin G. Rosichan,8,36,1
Horse: Stafford        #18436   ,"Performance Hunter 3'6""","$400 Performance Hunter 3'6""",World Equestrian Ocala Winter Spectacular #3,Alexandra L. O'Toole,9,10,0
Horse: Stairway to Heaven        #20096   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter,World Equestrian Ocala Winter Spectacular #7,Amanda Ney,8,47,1
Horse: Stakkatol 7        #22230   ,"Performance Hunter 3'3""","$300 Performance Hunter 3'3""",World Equestrian Center Winter Classic #17,Liz Atkins,7,12,2
Horse: Stakko        #17613   ,Low Jr/AO Jumper,$1000 Low Jr/Am/Am Own 1.20m 340.c,World Equestrian Ocala Winter Spectacular #1,Madison Kondracki,3,18,6
Horse: Stakko Air Zwei        #19094   ,High Performance,"$600 Green 3'9""/High Performance Hunter",World Equestrian Ocala Winter Spectacular #5,Kris Di Carlo,3,6,6
Horse: Stallone        #21491   ,"Amateur Owner Hunter 3'3"" 36 and over","$300 Amateur Owner Hunter 3'3"" 36+",World Equestrian Ocala Winter Spectacular #10,Christiane S. Campbell,3,11,6
Horse: Stallone        #21045   ,"Amateur Owner Hunter 3'3"" 36 and over","$300 Amateur Owner Hunter 3'3"" 36+",World Equestrian Ocala Winter Spectacular #9,Christine Campbell,2,10,7
Horse: Stan The Man        #18731   ,Children's Pony Hunter Sm/Med,$100 Children's Pony Hunter Sm/Med 2',World Equestrian Ocala Winter Spectacular #12,Lauren Major,5,7,4
Horse: Stand By Me        #14537   ,USHJA/NSBA 3' Hunter,NSBA Hunter 3',World Equestrian Ocala Winter Spectacular #3,Carly Williams,7,28,2
Horse: Standing Ovation        #19765   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter,World Equestrian Ocala Winter Spectacular #6,Amy Clark,4,35,5
Horse: Stanislaus        #19592   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #6,Matilda Van Der Hoeven,4,23,5
Horse: Stanley Brash        #18061   ,Novice Children's/Adult Jumper,$150 Novice Adult Jumper .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #10,Rebecca Patterson,4,20,5
Horse: Star Jewel        #17824   ,"Performance Hunter 3'3""","$350 Performance Hunter 3'3""",World Equestrian Ocala Winter Spectacular #2,Genevieve Edwards,7,15,2
Horse: Starbound        #19137   ,Small Green Pony Hunter,Small Green Pony Hunter Model,World Equestrian Ocala Winter Spectacular #5,Abbeygale Hamilton,2,2,0
Horse: Starboy        #21113   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #9,Valentina Timpone,4,14,5
Horse: Starbuck        #19412   ,Young Jumper 6 Year Old,$250 6 Year Old Young Jumpers 340.c,World Equestrian Ocala Winter Spectacular #5,Kristen B. Vanderveen,4,10,5
Horse: Starbuck        #17274   ,"USHJA/NSBA 2'6"" Hunter","NSBA Hunter 2'6""",World Equestrian Ocala Winter Spectacular #5,Cindi Robbins,2,40,7
Horse: Stardust        #15772   ,"Performance Hunter 3'3""","$150 Performance Hunter 3'3"" U/S",World Equestrian Ocala Winter Spectacular #7,Emma Walters,7,12,2
Horse: Starfield Diathi        #18982   ,1.25m Jumper,$600 1.25 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #5,Maya Simmons,7,11,2
Horse: Starfighter        #17497   ,"Green Hunter 3'6""","$600 Green Handy Hunter 3'6""",World Equestrian Ocala Winter Spectacular #7,Stefano Baruzzo,6,12,3
Horse: Stark        #18935   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #4,Elizabeth Pittman,5,32,4
Horse: Starpower        #18095   ,Adult Jumper,$500 Adult Amateur Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #2,Brandi Cyrus,6,21,3
Horse: Starr Witness        #18993   ,1.20m Jumper,$500 1.20 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #4,Doug Payne,3,46,6
Horse: Starsky        #11559   ,1.30m Jumper,$1000 1.30 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #1,Colleen Acosta,8,26,1
Horse: Starsky        #20574   ,Children's Hunter 15-17,$200 Children's Hunter 15-17,World Equestrian Ocala Winter Spectacular #8,Reagan Leary,2,19,7
Horse: Stealin' The Covers        #18005   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter,World Equestrian Ocala Winter Spectacular #2,Bella Sachs,1,22,10
Horse: Steel the Game        #18909   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #6,Lisa Bac,4,28,5
Horse: Stella Blue        #13002   ,Intermediate Adult Hunter,"Intermediate Adult Hunter 2'6""",World Equestrian Center Winter Classic #17,Anne M. Schaller,5,27,4
Horse: Steller        #22498   ,"Performance Hunter 3'6""","$300 Performance Hunter 3'6""",World Equestrian Center Winter Classic #19,David Q. Beisel,3,9,6
Horse: Steller        #17185   ,"Performance Hunter 3'3""","$350 Performance Hunter 3'3""",World Equestrian Ocala Winter Spectacular #10,David Q. Beisel,8,21,1
Horse: Step Up        #19542   ,"USHJA/NSBA 2'9""","NSBA Hunter 2'9"" (California Split)",World Equestrian Ocala Winter Spectacular #6,Linda Crothers,1,39,10
Horse: Stepaside        #12021   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter,World Equestrian Ocala Winter Spectacular #8,Madison Carson,3,14,6
Horse: Sterling        #17801   ,"Green Hunter 3'9""","$600 Green 3'9""/High Performance Hunter",World Equestrian Ocala Winter Spectacular #3,Holly Shepherd,2,6,7
Horse: Sterling        #18791   ,"Performance Hunter 3'6""","$400 Performance Hunter 3'6""",World Equestrian Ocala Winter Spectacular #4,Holly Shepherd,5,13,4
Horse: Stevens        #22312   ,Intermediate Children's Hunter,Intermediate Children's Hunter (1st Rnd Classic),World Equestrian Center Winter Classic #18,Madyson L. Schuh,8,24,1
Horse: Stiletto        #21681   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter,World Equestrian Ocala Winter Spectacular #11,Emma Faldo,8,21,1
Horse: Stillman        #19048   ,Adult Jumper,$500 Adult Amateur Jumper 1.10m 339.a,World Equestrian Ocala Winter Spectacular #4,Courtney Blackburn,7,14,2
Horse: Stitch        #18966   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #9,Eva Duignan,2,9,7
